prompt,phrase
Foot ache,I knocked my foot and it really hurts.
Internal pain,discomfort or pain that is felt at some point along the front of the body between the neck and upper abdomen.
Stomach ache,I often get a stomach ache after I eat.  I haven't been able to pinpoint which foods might be the trigger.
Neck pain,i can't rotate my neck
Neck pain,My neck feels stiff
Emotional pain,I got a divorce last year and I just can't stop dwelling on how to get revenge on my ex husband.
Internal pain,I have an internal pain I cannot describe
Emotional pain,heavy breath with fatigue
Neck pain,I can't move my head up and down.
Cough,I have a dry throat
Muscle pain,My arm hurts when I stretch
Neck pain,my neck hurts me and i can't look down or up
Neck pain,I have a sharp pain in my neck
Skin issue,I feel like l fell in hot water
Body feels weak,I've always been very active but now I just don't have the strength or energy to go for even a short walk.
Internal pain,I had internal pain and gases when I ate indian spicy food yesterday
Acne,I get big patches of irritated pimples on my back and they hurt.
Feeling cold,I feel cold when the night comes
Knee pain,I feel pain in the knee when walking
Head ache,"When I drink a lot, I get a headache"
Back pain,I feel a pain in my back
Joint pain,I feel a great pain in my shoulder joint and it does not go away
Ear ache,i have a problem in my middle ear made by infection
Knee pain,"i can't walk, my knee hurts me"
Head ache,"When I drink a lot, I get a headache"
Knee pain,My knee catches and hurts when I first stand up after sitting.
Joint pain,The joints in my fingers are painful in the morning.
Shoulder pain,I feel a great amount of pressure on the sides of my neck
Heart hurts,I feel hurts in my heart
Open wound,I cut my foot at the pool and it breaks open every day when I walk on it.
Hair falling out,I'm very worried that I'll go bald soon. Am I very sick?
Foot ache,I can't walk well I have an ache in my foot
Joint pain,i have pain like needles in my joints.
Shoulder pain,My shoulder aches when I try to lift five pounds.
Shoulder pain,i feel that is great pain in my left shoulder
Heart hurts,I often get a sharp pain in my chest and I can't tell what I'm doing that might be triggering it.
Hair falling out,Every time I comb my hair there are so many hair in my comb.
Heart hurts,I felt my heart hurts when I ran for along distance
Infected wound,I cut my hand a couple of weeks ago and even though I keep using an antibiotic cream it's not getting better.
Infected wound,My son got a tattoo several weeks ago and the skin around it is raised and hot and it looks infected.
Injury from sports,"i was injured during football match, i was diagnosed with Cruciate ligament"
Internal pain,I feel pain inside I do not know what it is
Head ache,My head ache since I woke up this morning.
Knee pain,My knee hurts when I play squash
Feeling cold,i feel cold
Joint pain,i was playing football and injuried with joint pain.
Hard to breath,My grandmother last year went to hospital because she was having a hard time breathing
Feeling dizzy,I feel dizzy and out of sight
Neck pain,I feel a pain in my neck
Stomach ache,I often get a stomach ache after I eat.  I haven't been able to pinpoint which foods might be the trigger.
Muscle pain,i have a pain in my trapes
Internal pain,discomfort or pain that is felt at some point along the front of the body between the neck and upper abdomen.
Heart hurts,The area around my heart doesn't feel good.
Stomach ache,I have a great stomach ache and i can't eat any thing
Hair falling out,Every time I comb my hair there are so many hair in my comb.
Joint pain,I feel a soreness in my knees when I walk
Feeling dizzy,i was travelling by ship and i feel dizzy.
Heart hurts,It is like I have a needle pushing through my heart.
Acne,I have eruptions on my face that come and go .
Feeling cold,The warming system of my house is broken and  feel so cold
Injury from sports,I got injured exercising
Ear ache,When I sneeze very hard I feel ear ache
Emotional pain,i'm disappointed
Stomach ache,i feel pain in my stomach
Shoulder pain,Anytime I play tennis I feel a shoulder pain
Foot ache,I can't walk because i have a great foot ache
Hard to breath,My nose is congested all the time and there's this gluey secretion in my throat that makes it impossible for me to sleep.
Shoulder pain,I feel a great pain in my shoulder when i try to lift something heavy
Neck pain,I feel pain in my neck while I'm working.
Shoulder pain,Anytime I play tennis I feel a shoulder pain
Foot ache,I can't walk because i have a great foot ache
Hair falling out,I've noticed my hair falling out a lot lately.
Emotional pain,"I've tried reading books, but nothing can cheer me up."
Feeling cold,I feel cold and chills even though my clothes are heavy
Emotional pain,I feel sad like hurt or pain
Knee pain,I could not exercise because of my knee pain
Shoulder pain,When I lift my arms up I have a soreness in my shoulders
Shoulder pain,There feels like a swollen knot at my shoulderblade with pain shooting from that
Head ache,I have a headache almost every day
Emotional pain,I feel a huge emotional pain after I broke up with my girlfriend.
Hair falling out,My hair is falling when I am combing it.
Feeling cold,My body feels like it's in a refrigerator.
Neck pain,i feel pain in my neck
Hair falling out,When I brush my hair I notice big clumps of hair coming out in the brush.
Injury from sports,This long scar on my left buttock is from falling off my mountain bike.
Muscle pain,My lower back hurts but it improves if I stretch it
Acne,My chest acne breaks out and never clears up.
Shoulder pain,Why is my shoulder aching when I try to pick up the laundry?
Back pain,I think I overdid it when I carried all that lumber from the yard. My lower back is killing me.
Heart hurts,I feel a strange and powerful pain inside my rib cage
Ear ache,I think there's fluid in my ears.
Cough,i cant sleep because of cough
Muscle pain,My biceps started aching after I went to the gym
Feeling cold,I just can't seem to get warm.  Even when everyone around me is warm I always feel cold.
Acne,My acne itches and oozes.
Joint pain,I feel a bone-on-bone pain in my knees when I climb stairs.
Foot ache,"At first it feels really numb, but then a thousand needles start to prick through my foot."
Skin issue,My skin is itchy and inflamed
Head ache,I have front head pain and when I get it the light bothers me.
Shoulder pain,I feel a great pain in my shoulder when i try to lift something heavy
Neck pain,My neck is annoying me I can't sleep bacause of it
Muscle pain,My muscle in my shoulder burns when I move my arm.
Muscle pain,Every morning when I wake up my neck feels like I slept on in wrong.
Neck pain,My neck hurts me and i can't stand with this pain
Ear ache,My ear ache when I'm listening to music.
Infected wound,I'm not feeling good I get infection wound
Head ache,"When I drink a lot, I get a headache"
Knee pain,The knee feels like it rusted and I suddenly cannot bend it anymore.
Joint pain,I feel a bone-on-bone pain in my knees when I climb stairs.
Heart hurts,My heart is beating fast and it scares me.
Ear ache,It itches inside my ears.
Blurry vision,I have cloudy eyes
Feeling dizzy,When I stand up too quickly I start to feel dizzy and light-headed
Cough,"i have whooping cough with excess mucous, need mucolytic."
Knee pain,I feel like there is something swollen and inflamed at the back of my knee.
Knee pain,I feel pain in the knee when walking
Feeling dizzy,When I stand I feel dizzy I do not know why
Foot ache,When I walk I get a stabbing pain in the top of my foot
Heart hurts,I have pain in my chest that saddens me.
Hard to breath,"i was diagnosed with pneumonia, i can't breath easily."
Neck pain,I have a neck pain when I sit in-front of my laptop.
Back pain,When I carry heavy things i feel like breaking my back
Foot ache,"i walked a long for 3 km, i feel pain in my foot like foot ache"
Knee pain,I feel pain in the knee
Hard to breath,It feels like I can't take a deep breath
Blurry vision,When i'm driving my eyes see in double
Joint pain,I feel a bone-on-bone pain in my knees when I climb stairs.
Heart hurts,My heart feels like it's going to explode.
Acne,My son has a lot of acne.
Back pain,I have shooting pains up and down my back.
Heart hurts,It feels like my heart is going to leap out of my body. It hurts.
Muscle pain,Every morning when I wake up my neck feels like I slept on in wrong.
Body feels weak,When I get out of bed in the morning my body feels very weak.
Ear ache,My ear is ringing.
Open wound,My sore isn't healing well and it's been like this for two weeks.
Stomach ache,I feel so sore in my stomach area.
Back pain,i have a problem in my back i cannot extend it
Shoulder pain,My right shoulder clicks when I move my arm.
Shoulder pain,Yesterday I had a shouder pain
Internal pain,I have a sharp pain in my abdomen.
Foot ache,I can't walk well I have an ache in my foot
Back pain,My back hurts a lot when I bend
Blurry vision,"I have a blurry vision and i can't see in the darkness , what is the reason doctor ?"
Stomach ache,I have a great stomach ache and i can't eat any thing
Heart hurts,The area around my heart doesn't feel good.
Foot ache,I can't walk well I have an ache in my foot
Emotional pain,I don't know why I'm constantly sad.
Ear ache,my ear hurts me badly
Head ache,I feel great pain in the head
Feeling dizzy,"when i get up, i feel dizzy and fall down."
Infected wound,I have a cut that is red and swollen.
Body feels weak,When I eat too much sugar my body gets weak and dizzy.
Emotional pain,After a breakup  I feel something strange in me.
Heart hurts,I feel increased heart rate with prick
Foot ache,My foot hurts and I can't turn it.  Maybe it's broken.
Open wound,I sliced myself deeply with a knife while I was cooking
Knee pain,i feel pain in my knee
Knee pain,I feel like there is something swollen and inflamed at the back of my knee.
Blurry vision,Everything looks like beeing in a smoky area.
Heart hurts,I cannot bear this squeezing sensation I have in my chest.
Neck pain,Pain in the large neck
Infected wound,my hand open wound got infected
Joint pain,i have a pain in my elbow joint
Blurry vision,I have blurred vision.
Ear ache,I travelled by plane a few days ago and this time during landing my ears remained clogged and painful.
Hard to breath,I'm not feeling good I can't take my breath
Body feels weak,I feel very weak in my body
Feeling dizzy,Whenever I stand up I feel dizzy.
Blurry vision,i was watching tv and suddenly have blurry vision
Skin issue,My skin is itchy and inflamed
Back pain,When I bend over I get a shooting pain down my back
Body feels weak,My body feels weak and I tried to make it relax but it stills pain me
Blurry vision,When I eat sugar I notice my vision blurs.
Stomach ache,I feel so sore in my stomach area.
Feeling cold,my temperature dropped and my body get synosed
Hair falling out,"My hair is coming out in chunks, especially when I wash it"
Muscle pain,There is a sharp pain in my calve.
Ear ache,My ear hurts and it's worse when I swallow.  My ear is very painful and Tylenol hasn't helped.
Ear ache,When I tried to answer the phine call I found that I can't hear the voice of the speaker
Open wound,"I cut my finger opening a can, it won't stop bleeding and the wound is gaping and open"
Heart hurts,I have terrible pain in my heart
Skin issue,I have this strange rash on my arm.
Feeling dizzy,i feel dizzy after severe diarrhea
Blurry vision,i can't see well
Knee pain,My knee hurts when I play squash
Head ache,"I can't stand up, I feel my brain is moving inside my skull."
Blurry vision,I noticed an important decrease in my vision when I try to look at things up close.
Body feels weak,My body feels weak and i think that my face is fade and i can't sleep well
Skin issue,When i get up i see my skin vague
Hair falling out,When I tried to take care if my hair I found that it is falling out
Neck pain,My throught is so sore.
Acne,I got acne when I ate chili
Acne,My son has a lot of acne.
Head ache,my head hurts me badly
Feeling cold,I m feeling cold though the temperature is high
Neck pain,I can't move my head up and down.
Ear ache,I travelled by plane a few days ago and this time during landing my ears remained clogged and painful.
Joint pain,I fell a stiffness in my elbows and shoulders
Hard to breath,I have difficulty in breathing in crowded places.
Skin issue,I complain alot with skin allergy
Cough,i cant breathe
Feeling cold,"I couldn't stop shaking or unclench my jaw, that's how cold I was."
Knee pain,I feel pain in the knee when walking
Muscle pain,I do not feel better in my muscles
Emotional pain,heavy breath with fatigue
Stomach ache,i feel pain in my stomach
Hair falling out,I'm in need for a treatment for my hair fall
Stomach ache,I have pain in my stomach
Back pain,i feel pain in my back
Infected wound,I have a break in the skin inside one of my nostrils that has become infected and is now filled with pus.
Ear ache,I had a cold the last time I travelled by plane and I still have a discomfort in my ears.
Ear ache,"My left ear is ok, but the right one feels like it's being stabbed with a nail."
Head ache,I have a headache every time I eat ice cream
Neck pain,i feel pain in my neck
Knee pain,"The pain is intense especially when I go down the stairs, it feels like something has snapped inside my knee."
Feeling dizzy,"when i get up, i feel dizzy and fall down."
Joint pain,I feel a lot of pain in the joints.
Head ache,When I'm tired I feel my head heavy
Infected wound,My sore looks like its not healing well.
Back pain,When I play sports  I have some burning sensation in my spine
Blurry vision,i can't see well
Internal pain,my left side aches much
Hair falling out,My hair is falling out after I take a shower.
Body feels weak,I don't do anything at home and still I feel exhausted.
Feeling cold,I do not know why I feel cold
Shoulder pain,I have shoulder pain when I try to carry my groceries.
Knee pain,"redness, swelling, and difficulty walking"
Acne,I have pimples on my back.
Hair falling out,My hair is falling out in huge amount
Emotional pain,I feel sad like hurt or pain
Feeling dizzy,When i'm awake in the morning I feel strange and have vertigo
Blurry vision,When i'm driving my eyes see in double
Head ache,When I'm tired I feel my head heavy
Heart hurts,My heart feels like it's going to explode.
Shoulder pain,"After playing tennis,  I had a powerful sensation close to my neck"
Foot ache,I can't walk well I have an ache in my foot
Skin issue,I feel like l fell in hot water
Infected wound,My son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal.
Acne,Is there a cure for acne?
Hair falling out,When I tried to take care if my hair I found that it is falling out
Body feels weak,My body feels weak and i think that my face is fade and i can't sleep well
Body feels weak,I feel discomfort throughout the body in general
Neck pain,My neck feels stiff
Skin issue,there is a red stain in my skin
Heart hurts,I cannot bear this squeezing sensation I have in my chest.
Internal pain,I had internal pain and gases when I ate indian spicy food yesterday
Head ache,My head hurts in the back and the pain lasts all day.
Joint pain,All my body is in a bad case and i need a good treatment
Joint pain,There is pain in my joints. I can not bear pain
Ear ache,I'm having a hard time hearing.
Foot ache,My foot hurts and I can't turn it.  Maybe it's broken.
Joint pain,When I play football I have joint pain.
Infected wound,There is an injured person
Injury from sports,I feel pain in my right shoulder after the tennis match.
Muscle pain,When I do hard exercises I feel great pain in my muscles.
Open wound,I have a break in the skin between my thumb and index finger and it will not close.
Injury from sports,"i was injured during football match, i was diagnosed with Cruciate ligament"
Joint pain,When I play football I have joint pain.
Emotional pain,I've been feeling very sad lately
Open wound,What helps cuts heal faster?
Body feels weak,"can't do any exercise, i feel weak"
Cough,i cant sleep because of cough
Feeling cold,The warming system of my house is broken and  feel so cold
Injury from sports,I toppled over while jumping to catch the ball.
Infected wound,My cut yellow or greenish-colored pus
Body feels weak,My muscles feel tired
Feeling dizzy,My head is spinning when I get up.
Stomach ache,I can't stand with this horrible feeling in my stomach
Knee pain,My knee feels weak and it gave way the other day at the top of the stairs.  Luckily there was a rail to hold on to.
Emotional pain,I feel suicidal.
Infected wound,I have a cut that has become red and oozes puss.
Cough,Have severe cold and cough
Internal pain,I feel pain inside and I can not identify it
Neck pain,i have difficulty moving my neck
Knee pain,My knees ache on cold and rainy days.
Injury from sports,When I was young I had an injury from sports in my knee.
Open wound,I cut my hand a couple of days ago and although I didn't think I needed it stitches it hasn't closed up.
Acne,I get clusters of pimples on my face that never go away.
Feeling dizzy,I feel dizzy after doing a muscular effort.
Ear ache,Since I went into the forest  I have pain on my ear
Heart hurts,I have pain in my chest that saddens me.
Feeling cold,"Even if the temperature is high in the house,  my body is always cold"
Head ache,When I'm tired I feel my head heavy
Joint pain,I have some pain when i'm walking around my knees
Acne,My acne itches and oozes.
Feeling cold,My entire body is freezing.
Muscle pain,i have muscle pain at my left leg.
Head ache,I have a pain in my head
Internal pain,I have a pain internal
Shoulder pain,There feels like a swollen knot at my shoulderblade with pain shooting from that
Hair falling out,using hair tonic
Cough,I feel like I've always got something in my throat
Emotional pain,When I remember her I feel down
Infected wound,My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.
Cough,I can`t stop coughing.
Open wound,The wound is still open
Injury from sports,I stopped sports because I get Injury from sports
Back pain,standing less than five minutes and my back start to ache
Joint pain,My joints ache whenever it is cold
Ear ache,"It started as a tinnitus, but today the pain is throbbing and unbearable."
Acne,I feel deep Tingling when I touch Acne followed by bad sensation
Cough,Every time I take a deep breath I start coughing
Joint pain,I feel a clicking sensation in my knee each time I step.
Heart hurts,my heart hurts me
Injury from sports,"I started taking swimming lessons and I guess I swallowed too much water through my nose, because this sinusitis is killing me now."
Cough,I usually have a bad cough when I get flu.
Hard to breath,i feel that it's hard to breath for me specially after running or making any effort
Emotional pain,I feel a huge emotional pain after I broke up with my girlfriend.
Cough,i cant sleep because of cough
Head ache,I feel pain in my head with a vertigo
Head ache,My head hurts when I'm doing this.
Shoulder pain,It feels like someone stuck a knife into my shoulder
Feeling dizzy,When I stand up too quickly I start to feel dizzy and light-headed
Shoulder pain,When I lift my arms up I have a soreness in my shoulders
Shoulder pain,Why is my shoulder aching when I try to pick up the laundry?
Muscle pain,i have muscle pain at my left leg.
Back pain,When I carry heavy things i feel like breaking my back
Heart hurts,"I feel a pain on the left side of my chest, where my heart is"
Skin issue,I complain alot with skin allergy
Hair falling out,my hair falling out
Hard to breath,It feels like I can't take a deep breath
Feeling dizzy,My head gets dizzy when I try to get up.
Feeling dizzy,I feel dizzy after doing a muscular effort.
Head ache,I get terrible headaches every few months and when I get them my vision is affected.
Emotional pain,"i feel hurt, lot of pain in my heart"
Neck pain,I can't move my head up and down.
Hair falling out,I feel depressed when I see my hair falling out
Hard to breath,I walk every day but now I get short of breath after going only a short way.
Cough,I can't sleep I have a hard cough
Feeling dizzy,I feel like the room is spinning
Neck pain,I have a sharp pain in my neck
Blurry vision,I'm having a hard time reading because the letters are all fuzzy
Foot ache,there pain in my foot
Emotional pain,I feel a huge emotional pain after I broke up with my girlfriend.
Muscle pain,My arm hurts when I stretch
Infected wound,His infected wound was beginning to rot.
Internal pain,My chest hurts when I smoke
Joint pain,i was playing football and injuried with joint pain.
Cough,I'm suffering from sharp cough Accompanied by  phlegm
Knee pain,My knees ache on cold and rainy days.
Foot ache,i feel pain in my foot
Muscle pain,I feel muscle pain every time I make an extra effort.
Hard to breath,My nose is congested all the time and there's this gluey secretion in my throat that makes it impossible for me to sleep. 
Feeling dizzy,When I stand up too quickly I start to feel dizzy and light-headed
Feeling cold,My entire body is freezing.
Acne,I have eruptions on my face that come and go .
Shoulder pain,"When I move on my shoulder, pain shoots down my arm"
Injury from sports,"I started taking swimming lessons and I guess I swallowed too much water through my nose, because this sinusitis is killing me now."
Body feels weak,I don't do anything at home and still I feel exhausted.
Hard to breath,I feel something hurt me in taking breath and I cant take my breath
Blurry vision,I have blurry vision after I used a wrong medicine.
Hair falling out,I'm in need for a treatment for my hair fall
Blurry vision,It's hard to see things
Open wound,"I cut my finger opening a can, it won't stop bleeding and the wound is gaping and open"
Stomach ache,I had a sharp pain in my stomach
Ear ache,My ear hurts and it's worse when I swallow.  My ear is very painful and Tylenol hasn't helped.
Head ache,"My head hurts and I lose the sensation in my face, then lose sight in my eye"
Open wound,I must see a doctor i have an open wound
Body feels weak,"my cbc report indicate 10 hb, i feel tired of little work."
Hair falling out,I visited many doctors but they can't find the right treatment toget my hair back
Injury from sports,I broke my ankle while doing rock climbing in the Carpathians.
Blurry vision,When I stand up too quick my vision is blurry.
Stomach ache,I have a sharp pain in my lower stomach.
Skin issue,I have a skin rash after eating an ice-cream.
Knee pain,i feel pain in my knee
Stomach ache,I have pain in my stomach
Muscle pain,There is pain in the muscles I do not know caused
Muscle pain,"after playing football, i have muscle pain with my both legs."
Back pain,My back is hurting so much.
Shoulder pain,Yesterday I had a shouder pain
Feeling dizzy,i was travelling by ship and i feel dizzy.
Body feels weak,I feel weak all over.
Joint pain,I have a throbbing in my joints
Feeling dizzy,"I feel dizzy when I set in-front of my laptop for an hour or two, what possibly could be the reason?"
Feeling dizzy,When I stand up too quickly I start to feel dizzy and light-headed
Heart hurts,It is like I have a needle pushing through my heart.
Blurry vision,"I have a blurry vision and i can't see in the darkness , what is the reason doctor ?"
Body feels weak,I feel weak all over.
Stomach ache,I feel a burning sensation in my guts about 2 hours after each meal.
Feeling cold,The warming system of my house is broken and  feel so cold
Shoulder pain,Yesterday I had a shouder pain
Open wound,I had an accident and my wound was open when I arrived to hospital
Hard to breath,I feel very hard to breathe
Knee pain,I get a knee pain when I walk a lot
Muscle pain,My calves feel like they are tight as knots and are throbbing
Emotional pain,i'm disappointed
Shoulder pain,My shoulder has agreat pain
Body feels weak,i feel weak
Shoulder pain,when i raise my hand i feel pain in my shoulder.
Emotional pain,I feel pain when parting loved ones
Acne,My acne gets worse when it is hot
Hair falling out,I lose a lot of my hair
Cough,I have a lot of mucus when I cough.
Infected wound,"My daughter was bit by her cat and now her hand is sore, red and swollen and the wound is oozing liquid."
Emotional pain,When I remember her I feel down
Joint pain,My joints ache whenever it is cold
Shoulder pain,i have a strong shoulder pain
Back pain,I have a dull ache in  my lower back which makes it difficult to move
Emotional pain,I've been feeling very sad lately
Ear ache,I'm having a hard time hearing.
Stomach ache,I had a sharp pain in my stomach
Hard to breath,When I walk it's hard to breath.
Joint pain,All my body is in a bad case and i need a good treatment
Neck pain,I can hardly move my neck.  It hurts.
Acne,there is acne on my face
Injury from sports,i have injured myself during the soccer match
Hair falling out,my hair isn't well
Head ache,fell skull is cracked like nuts
Foot ache,The nerves were so damaged during the operation on my ankle that I cannot stand being touched on the scar.
Blurry vision,I tried to put my glasses to see more clear but cant find any change
Muscle pain,i have muscle pain at my left leg.
Back pain,I can't stand up or sit down I have a pain in my back that annoys me
Internal pain,I feel a sharp pain in my stomach
Shoulder pain,I have shoulder pain when I try to carry my groceries.
Infected wound,My wound was infected when i was planting some flowers in my garden
Shoulder pain,I have throbing in my shoulder
Open wound,"Laceration, rupture or opening in the skin"
Feeling dizzy,I feel like the room is spinning
Acne,I hate my acne.
Acne,My face break out badly every month around my cycle.
Feeling dizzy,When I'm too high I start to feel dizzy
Cough,I can't stop coughing
Shoulder pain,I feel a great amount of pressure on the sides of my neck
Feeling dizzy,I feel lightheaded
Internal pain,I have internal pain whenever I come down with a cold.
Open wound,"I fell through a window while I was cleaning it and I have a shard of glass stuck in my left eye, I think it is pretty serious"
Knee pain,The knee feels like it rusted and I suddenly cannot bend it anymore.
Cough,"I cough a lot when I smell perfume, what is wrong with my lungs?"
Infected wound,"You won't believe me, but this infected wound on my hand is from a paper cut I didn't take seriously."
Neck pain,My neck hurts me and i can't stand with this pain
Infected wound,I suffered a deep wound in my hand and I can not stop the bleeding
Body feels weak,"I get tired too fast, I can barely put on my clothes in the morning."
Acne,Is there a cure for acne?
Head ache,My head ache since I woke up this morning.
Emotional pain,When I think of my parents I feel pain
Shoulder pain,I feel pain in my shoulders when I write on the keyboard.
Neck pain,I wake up with a stiff neck every morning.  Massage helps but then a couple of days later it's back again.
Heart hurts,"My heart hurts while I'm sad, why?"
Skin issue,I have a red rash that is itchy on my skin
Knee pain,My knee catches and hurts when I first stand up after sitting.
Ear ache,i have a problem in my middle ear made by infection
Open wound,I have a wound between my toes that gets better overnight and then reopens ever day when I wear dress shoes to work.
Knee pain,I feel pain in the knee when walking
Feeling dizzy,I feel like the world goes round and round
Knee pain,"redness, swelling, and difficulty walking"
Feeling dizzy,When i'm awake in the morning I feel strange and have vertigo
Body feels weak,When I get out of bed in the morning my body feels very weak.
Emotional pain,"I feel like I just can't cope anymore, I feel overwhelmed and like I just can't get a break."
Stomach ache,After eating  I have burning sensation inside of me.
Head ache,It feels like someone is hitting my head with a hammer.  I feel pain on the top of my head and it throbs.
Internal pain,What's the symptoms of appendicitis?
Neck pain,I complain alot with my neck pain and i really need to be better
Acne,I have acne all over my face
Shoulder pain,"When I move my shoulder, it's like lightning is being sent through my shoulder"
Blurry vision,I feel pain in my eyes I can see fog
Joint pain,I have a pain in my joint
Ear ache,The pain in my ear is unbearable.
Acne,Chronic disease of hair follicles and sebaceous glands
Feeling cold,i feel cold
Acne,I have acne all over my face
Open wound,I have a break in the skin between my thumb and index finger and it will not close.
Hard to breath,Sometimes I feel like a claw on my chest that leaves me breathless.
Feeling dizzy,Whenever I stand up I feel dizzy.
Feeling dizzy,"when i get up, i feel dizzy and fall down."
Infected wound,I have a cut that has become red and oozes puss.
Body feels weak,I feel discomfort throughout the body in general
Skin issue,"My skin color on my back is red, I don't know why."
Hair falling out,My hair is falling out in huge amount
Cough,I feel fluid trying to come up when I cough.
Stomach ache,I feel abdominal pain
Foot ache,i have a great pain in my foot like thrombing pain with relaxing my pain releif
Foot ache,"I have a foot ache in winter, or when it feels cold, why?"
Open wound,I cut my hand a couple of days ago and although I didn't think I needed it stitches it hasn't closed up.
Injury from sports,I was kicked in the head playing soccer last night.
Cough,i cant breathe
Emotional pain,I got a divorce last year and I just can't stop dwelling on how to get revenge on my ex husband.
Blurry vision,I'm having a hard time reading because the letters are all fuzzy
Muscle pain,I do not feel better in my muscles
Cough,I can't sleep I have a hard cough
Joint pain,"i can't move my leg, there is pain in the joint"
Injury from sports,I was kicked in the head playing soccer last night.
Foot ache,i feel pain in my foot
Hard to breath,I feel a tightness in my chest
Blurry vision,"I have a blurry vision during my swimming training in the pool, why?"
Foot ache,My foot hurts me a lot of playing football
Blurry vision,I'm having a hard time reading because the letters are all fuzzy
Back pain,I used alot of pain killer to get better but i still feel the same back pain
Knee pain,I feel pain in the knee
Shoulder pain,My shoulder aches when I try to lift five pounds.
Skin issue,I have a red rash that is itchy on my skin
Emotional pain,I feel emotionally crushed
Heart hurts,"My heart hurts while I'm sad, why?"
Emotional pain,I feel a huge emotional pain after I broke up with my girlfriend.
Acne,My face break out badly every month around my cycle.
Hair falling out,I feel depressed when I see my hair falling out
Shoulder pain,I can't carry anything I have a pain in my shoulder
Body feels weak,I feel very weak in my body
Feeling dizzy,I feel dizzy after doing a muscular effort.
Acne,I break out on my face very frequently
Skin issue,I tried alot of cream but i still feel the same skin problem
Neck pain,my neck hurts me and i can't look down or up
Foot ache,there pain in my foot
Internal pain,my left side aches much
Skin issue,i have issue with my skin
Knee pain,My knee doesn't want to bend well.
Infected wound,There is an injured person
Infected wound,"My daughter was bit by her cat and now her hand is sore, red and swollen and the wound is oozing liquid."
Blurry vision,It's hard to see things
Stomach ache,I made lots and lots of analysis to know the main reason for my stomach ache
Infected wound,I have a cut that is red and swollen.
Foot ache,i have a great pain in my foot like thrombing pain with relaxing my pain releif
Emotional pain,After a breakup  I feel something strange in me.
Shoulder pain,It hurts when I raise my arm up
Ear ache,It itches inside my ears.
Back pain,The pain in my back dwwls like a sharp knife in it
Shoulder pain,"When I move my shoulder, it's like lightning is being sent through my shoulder"
Hair falling out,My shower drain is full of hair every time.
Heart hurts,my heart hurts me
Muscle pain,The pain feels like it's right below the skin
Skin issue,I have a dry skin
Knee pain,My knees ache on cold and rainy days.
Muscle pain,i have a pain in my trapes
Hair falling out,using hair tonic
Back pain,My upper back has been sore for a week.
Cough,Sometimes I cough because I'm a smoker
Hair falling out,My hair is falling when I am combing it.
Emotional pain,I don't know why I'm constantly sad.
Internal pain,discomfort or pain that is felt at some point along the front of the body between the neck and upper abdomen.
Stomach ache,"My stomach aches after I drink any soda drink, why?"
Blurry vision,I feel pain in my eyes I can see fog
Joint pain,I have a feeling like my whole body is complaining
Feeling dizzy,When I stand up too quickly I start to feel dizzy and light-headed
Heart hurts,"I feel a pain on the left side of my chest, where my heart is"
Muscle pain,My muscles in my lower back are aching.
Internal pain,I feel a sharp pain in my stomach
Emotional pain,When my grand father died I felt a hard emotional pain
Muscle pain,I had alot of exercise yesterday so i feel sharp muscle pains
Feeling cold,I'm not good i'm feeling so cold
Blurry vision,I have cloudy eyes
Feeling dizzy,"When I go to stand, my head starts swirling"
Infected wound,"You won't believe me, but this infected wound on my hand is from a paper cut I didn't take seriously."
Injury from sports,I was playing soccer and I twisted my ankle
Feeling cold,When I tried to be warm and wear more clothes I found that I was still cold
Internal pain,discomfort or pain that is felt at some point along the front of the body between the neck and upper abdomen.
Joint pain,I have a feeling like my whole body is complaining
Heart hurts,I feel heart pain when I walk a lot
Injury from sports,This long scar on my left buttock is from falling off my mountain bike.
Hard to breath,I don't have problems taking in breath but out breath is so heavy
Feeling dizzy,I feel dizzy and out of sight
Body feels weak,I have tried to relief it but I can't
Injury from sports,I hve cut my finger because of playing football and I  to apply pain relief cream but it does not help
Injury from sports,I think I sprained my ankle it really hurts.
Infected wound,is my cut infected or just healing?
Acne,My face is all broken out with pimples.
Acne,My acne itches and oozes.
Acne,Is pimples a skin disease?
Internal pain,I have a dull ache in my stomach.  It gets worse after I eat.
Internal pain,I have a sharp pain in my abdomen.
Knee pain,My knees seem to grind as I go up or down stairs.
Joint pain,I have some pain when i'm walking around my knees
Acne,My acne is really embarassing. It's so read.
Stomach ache,My stomach feels full and upset  and bloating after big meals.
Neck pain,I can't turn my neck to the left without feeling a stabbing pain
Blurry vision,When I eat sugar I notice my vision blurs.
Foot ache,After walking I have some pain under my foot
Acne,Even though I'm an adult my face keeps breaking out in pimples.
Ear ache,My ear is ringing.
Skin issue,Something dark is there on my arm
Neck pain,There is a tingling sensation in my neck.
Injury from sports,I hit my head at the basketball game.  Could I have a concussion?
Head ache,When I'm tired I feel my head heavy
Acne,My acne itches and oozes.
Injury from sports,I broke my ankle while doing rock climbing in the Carpathians.
Ear ache,My ear hurts and it's worse when I swallow.  My ear is very painful and Tylenol hasn't helped.
Emotional pain,I feel really sad all the time.
Hard to breath,My heart is pumping fast and I'm having a hard time to breath.
Skin issue,I have a very rash sensation close to my arms
Body feels weak,When I get out of bed in the morning my body feels very weak.
Head ache,i feel head ache
